Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
180. The Grasshopper,1970,1h 38m,R,5.7,626,,"A young woman's odyssey from innocence to decadence. Hopeful for a career in show business, Christine Adams leaves British Columbia with her boyfriend at age 19. But a detour to Las Vegas leads her into a life that no one would envy.",https://www.imdb.com/title/tt0065795/?ref_=sr_i_180,"['Mark McShane', 'Jerry Belson', 'Garry Marshall']",Jerry Paris,"['Jacqueline Bisset', 'Jim Brown', 'Joseph Cotten', 'Corbett Monica', 'Christopher Stone', 'Ramon Bieri', 'Ed Flanders', 'William Callaway', 'Roger Garrett', 'Therese Baldwin']","$1,700,000 (estimated)",,,,"December 26, 1970",['United States'],"John Burroughs Middle School - 600 S. McCaddon Place, Los Angeles, California, USA",['National General Pictures'],1 nomination total,"['Drama', 'Romance']",['English']
181. Three Sisters,1970,2h 45m,G,6.2,519,,"Nearly a thousand miles away from their beloved Moscow, Chekhov's Three Sisters live in virtual exile. Olga, a schoolmistress, attempts to support her siblings and the home that is the sole legacy of their late father.",https://www.imdb.com/title/tt0066454/?ref_=sr_i_181,"['Jeanne Watts', 'Joan Plowright', 'Louise Purnell']",Laurence Olivier,"['Jeanne Watts', 'Joan Plowright', 'Louise Purnell', 'Derek Jacobi', 'Sheila Reid', 'Kenneth MacKintosh', 'Daphne Heard', 'Harry Lomax', 'Judy Wilson', 'Mary Griffiths']",,,,,"November 3, 1970",['United Kingdom'],,"['Alan Clore Films', 'Lion International Films']",,"['Period Drama', 'Drama', 'Romance']",['English']
182. Tam Lin,1970,1h 46m,PG-13,5.7,791,,An older woman uses witchcraft to keep her young jet-set friends. Based on an ancient Scottish folk song.,https://www.imdb.com/title/tt0067822/?ref_=sr_i_182,"['Ava Gardner', 'Ian McShane', 'Richard Wattis']",Roddy McDowall,"['Ava Gardner', 'Ian McShane', 'Richard Wattis', 'Cyril Cusack', 'Stephanie Beacham', 'David Whitman', 'Fabia Drake', 'Sinéad Cusack', 'Joanna Lumley', 'Jenny Hanley']",,,,,"November 4, 1971",['United Kingdom'],"Traquair House, Innerleithen, Peebles, Scottish Borders, Scotland, UK","['Gershwin-Kastner Productions', 'Winkast Film Productions', 'Commonwealth United Entertainment']",,"['Folk Horror', 'Horror', 'Mystery']",['English']
183. Whirlpool,1970,1h 32m,X,5.6,665,,"A rich older woman living in a country house brings home a new model to be photographed by a young enigmatic photographer who lives with her. The unsuspecting girl becomes entangled in a web of sex, abuse and death.",https://www.imdb.com/title/tt0065210/?ref_=sr_i_183,"['Karl Lanchbury', 'Vivian Neves', 'Pia Andersson']",José Ramón Larraz,"['Karl Lanchbury', 'Vivian Neves', 'Pia Andersson', 'Johanna Hegger', 'Andrew Grant', 'Edwin Brown', 'Ernest C. Jennings', 'Larry Dann', 'Alan Charles', 'Barry Craine']",,,,,1970,"['Denmark', 'United Kingdom']","England, UK",['Athena Film A/S'],,"['Drama', 'Horror', 'Thriller']",['English']
184. Alex in Wonderland,1970,1h 50m,R,5.4,1K,,"Bohemian Alex Morrison has just finished directing his first feature-length movie. In its previews, the movie is considered a critical, artistic, and surefire commercial success, so Alex seemingly has his choice of what his next project will be. Alex has a few ideas, like a biopic of Lenny Bruce or a movie about a black uprising in Los Angeles. As he makes the rounds of both the Hollywood community and European movie centers for ideas, he fantasizes about movie scenarios of his everyday situations, influenced by his movie idols, some of whom he actually meets, like Italian director Federico Fellini and French actress Jeanne Moreau. He's also wondering what to do about his personal life: does it make sense for him to ""move up"" with his wife Beth and their two daughters from their middle-class lifestyle? If so, filmmaking must not only achieve his main purpose of saying something meaningful, but also must be commercially successful. But must the need for commercial success ultimately take artistic control out of his hands?",https://www.imdb.com/title/tt0065380/?ref_=sr_i_184,"['Donald Sutherland', 'Ellen Burstyn', 'Meg Mazursky']",Paul Mazursky,"['Donald Sutherland', 'Ellen Burstyn', 'Meg Mazursky', 'Glenna Sergent', 'Viola Spolin', 'Andre Philippe', 'Michael Lerner', 'Joan Delaney', 'Neil Burstyn', 'Leon Frederick']",,,,"$290,772",February 1971,['United States'],"Hollywood Boulevard, Hollywood, Los Angeles, California, USA",['Coriander'],1 nomination total,"['Comedy', 'Drama']",['English']
185. The Boatniks,1970,1h 39m,G,5.5,885,,"Newly assigned to duty in the coast guard at Newport Beach, a young ensign finds himself involved in romantic complications, as well as with jewel thieves, whose antics contribute to moments of hysteria and hilarity.",https://www.imdb.com/title/tt0065482/?ref_=sr_i_185,"['Robert Morse', 'Stefanie Powers', 'Phil Silvers']",Norman Tokar,"['Robert Morse', 'Stefanie Powers', 'Phil Silvers', 'Norman Fell', 'Mickey Shaughnessy', 'Wally Cox', 'Don Ameche', 'Joey Forman', 'Vito Scotti', 'Tom Lowell']",,,,"$18,607,492","July 1, 1970",['United States'],"Balboa Beach, Newport Beach, California, USA",['Walt Disney Productions'],,"['Comedy', 'Family']",['English']
"186. Daddy, Darling",1970,1h 35m,R,4.8,426,,"Katja lives alone with her widowed father, and the two of them share a deep affection. One day Katja's idyllic life is forever shattered when her father re-marries.",https://www.imdb.com/title/tt0062847/?ref_=sr_i_186,"['Helli Louise', 'Gio Petré', 'Ole Wisborg']",Joseph W. Sarno,"['Helli Louise', 'Gio Petré', 'Ole Wisborg', 'Lise Henningsen', 'Søren Strømberg', 'Lise Thomsen', 'Tove Maës', 'Kyo Feza', 'Inger Gleerup', 'Jeanette Swensson']",,,,,"February 12, 1971","['Denmark', 'United States']","Copenhagen, Denmark",['Cinetex Industries'],,['Drama'],['English']
187. The Kremlin Letter,1970,2h,M/PG,6.2,2.4K,,During the Cold War a Naval Intelligence officer endowed with a powerful photographic memory is transferred to the CIA to participate in a covert operation in Moscow.,https://www.imdb.com/title/tt0065950/?ref_=sr_i_187,"['Bibi Andersson', 'Richard Boone', 'Nigel Green']",John Huston,"['Bibi Andersson', 'Richard Boone', 'Nigel Green', 'Dean Jagger', 'Lila Kedrova', 'Micheál MacLiammóir', ""Patrick O'Neal"", 'Barbara Parkins', 'Ronald Radd', 'George Sanders']","$6,095,000 (estimated)",,,,"February 1, 1970",['United States'],"Helsinki, Finland",['Twentieth Century Fox'],,"['Crime', 'Drama', 'Thriller']","['Finnish', 'English', 'Russian', 'French']"
188. Up Your Teddy Bear,1970,1h 29m,R,3.6,201,,"Clyde King, a toy store employee whose hobbies include making wooden toys and stalking women, is coveted by the female owner of one of the biggest toy companies in the world. She is enchanted by King's hand-carved toys, and she delegates the recruitment of the toy-maker to her second-in-command, Lyle ""Skippy"" Burns. However, King will not join her company as she reminds him of his mother. She becomes the subject of bizarre fantasies in which ""Mother,"" the toy company owner as imagined by King, brow-beats and humiliates him. Discovering King's predeliction for leaving the toy store to stalk women, Skippy first tries to entice Clyde into signing an employemnt contract by supplying him with women, even going as far to dress himself up in drag as a prostitute. But every time he sets King up with a woman, the encounter ends disastrously, so Skippy finally decides to kill him.",https://www.imdb.com/title/tt0066099/?ref_=sr_i_188,"['Julie Newmar', 'Wally Cox', 'Victor Buono']",Don Joslyn,"['Julie Newmar', 'Wally Cox', 'Victor Buono', 'Claire Kelly', 'Angelique Pettyjohn', 'Thordis Brandt', 'Valora Noland', 'Amy Thomson', 'Viki Ellison', 'Kathy Wakefield']",,,,,"March 21, 1970",['United States'],,['Joslyn Films'],,"['Dark Comedy', 'Slapstick', 'Comedy', 'Fantasy', 'Romance']",['English']
"189. Adiós, Sabata",1970,1h 44m,PG-13,5.9,2.4K,,Sabata helps a band of Mexican revolutionaries steal a wagon-load of gold from the occupying Austrian forces of Emperor Maximilian I.,https://www.imdb.com/title/tt0066745/?ref_=sr_i_189,"['Renato Izzo', 'Gianfranco Parolini']",Gianfranco Parolini,"['Yul Brynner', 'Dean Reed', 'Ignazio Spalla', 'Gérard Herter', 'Sal Borgese', 'Franco Fantasia', 'Turam Quibo', 'Andrea Scotti', 'Nieves Navarro', 'Luciano Casamonica']",,,,"$546,926","September 30, 1970","['Italy', 'Spain']","Treja Valley, Lazio, Italy",['Produzioni Europee Associate (PEA)'],,"['Spaghetti Western', 'Action', 'Drama', 'War', 'Western']",['Italian']
190. The Man Who Had Power Over Women,1970,1h 29m,R,5.2,227,,A successful talent agent enjoys the good life until his wife leaves him. He moves in with his friend and begins an affair with the man's wife. He also gets a new difficult client whose public image must be preserved at any cost.,https://www.imdb.com/title/tt0066052/?ref_=sr_i_190,"['Rod Taylor', 'Carol White', 'James Booth']",John Krish,"['Rod Taylor', 'Carol White', 'James Booth', 'Penelope Horner', 'Charles Korvin', 'Alexandra Stewart', 'Keith Barron', 'Clive Francis', 'Magali Noël', 'Marie-France Boyer']",,,,"$121,400","February 11, 1971",['United Kingdom'],"London, England, UK","['Rodlor', 'Kettledrum Films']",,"['Comedy', 'Drama', 'Music']",['English']
191. A Day at the Beach,1970,1h 33m,GP,6.2,447,,"Bernie, a self-destructive alcoholic, is given watch over his niece Winnie. He tests the patience of the various people he knows and Winnie is often left on her own.",https://www.imdb.com/title/tt0065616/?ref_=sr_i_191,"['Mark Burns', 'Beatie Edney', 'Fiona Lewis']",Simon Hesera,"['Mark Burns', 'Beatie Edney', 'Fiona Lewis', 'Maurice Roëves', 'Jack MacGowran', 'Peter Sellers', 'Graham Stark', 'Joanna Dunham', 'Eva Dahlbeck', 'Thomas Heathcote']",,,,,May 1970,['United Kingdom'],"Copenhagen, Denmark","['ASA Filmudlejning', 'Cadre Films', 'Cinema Group']",,['Drama'],['English']
192. A Quiet Place to Kill,1970,1h 34m,Not Rated,6.3,1.5K,,"A disillusioned race-car driver plots to kill her ex-husband at the behest of his new wife, but the plan quickly goes awry.",https://www.imdb.com/title/tt0064787/?ref_=sr_i_192,"['Marcello Coscia', 'Rafael Romero Marchent', 'Bruno Di Geronimo']",Umberto Lenzi,"['Carroll Baker', 'Jean Sorel', 'Luis Dávila', 'Alberto Dalbés', 'Marina Coffa', 'Anna Proclemer', 'Hugo Blanco', 'Lisa Halvorsen', 'Manuel Díaz Velasco', 'Jacques Stany']",,,,,1973,"['Italy', 'France', 'Spain']","Palma de Majorca, Majorca, Islas Balearicas, Spain","['Tritone Cinematografica', 'Medusa Distribuzione', 'Producciones Cinematográficas D.I.A.']",,"['Giallo', 'Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']","['French', 'Spanish', 'Italian']"
193. Le Petit Bougnat,1970,1h 35m,,5.6,199,,"When the long awaited departure day arrives, a child coal merchant eager to go to summer camp, realizes that his mother forgot to register his name with the rest of the group.",https://www.imdb.com/title/tt0064804/?ref_=sr_i_193,"['Claude Amazan', 'Isabelle Adjani', 'Vincenzo Sartini']",Bernard Toublanc-Michel,"['Claude Amazan', 'Isabelle Adjani', 'Vincenzo Sartini', 'Guy Allombert', 'Marie-Claude Rauzier', 'Michel Théodou', 'Christophe Charletoux', 'Michel Gérard', 'Sylvie Allombert', 'Jacques Henri Barratier']",,,,,"May 6, 1970","['France', 'Italy']",,"['Société Nouvelle de Cinématographie (SNC)', 'Tritone Cinematografica']",,"['Comedy', 'Drama']",['French']
194. Red Sun,1970,1h 29m,,5.9,694,,"Thomas hitchhikes from Hamburg to Munich where he runs into his ex-girlfriend Peggy. As Thomas doesn't have a bed, he lets Peggy take him home, not knowing that she and her four roommates have all made a strange pact.",https://www.imdb.com/title/tt0064905/?ref_=sr_i_194,"['Uschi Obermaier', 'Marquard Bohm', 'Sylvia Kekulé']",Rudolf Thome,"['Uschi Obermaier', 'Marquard Bohm', 'Sylvia Kekulé', 'Gaby Go', 'Diana Körner', 'Peter Moland', 'Don Wahl', 'Hark Bohm', 'Henry van Lyck', 'Günter Lemmer']",,,,,"September 1, 1970",['West Germany'],Germany,['Independent Film'],,['Crime'],['German']
195. The Hawaiians,1970,2h 14m,R,6.1,1.5K,,"Captain Whip returns to Hawaii. He's inherited ""worthless"" land. He starts a plantation, staffed with a Chinese couple from his ship. Drilling thru lava for water and stealing/smuggling pineapple from French Guyana, things look brighter.",https://www.imdb.com/title/tt0065820/?ref_=sr_i_195,"['Charlton Heston', 'Tina Chen', 'Geraldine Chaplin']",Tom Gries,"['Charlton Heston', 'Tina Chen', 'Geraldine Chaplin', 'Mako', 'John Phillip Law', 'Alec McCowen', 'Don Knight', 'Miko Mayama', 'Virginia Ann Lee', 'Chris Robinson']",,,,"$277,000","November 5, 1970",['United States'],"Kaua'i, Hawaii, USA",['The Mirisch Production Company'],2 nominations total,"['Adventure Epic', 'Adventure', 'Drama']",['English']
196. You Can't Win 'Em All,1970,1h 37m,PG,5.7,1.8K,,"During the 1922 Turkish Civil War, two Americans and a group of foreign mercenaries offer their services to a local Turkish governor who hires them as guards for a secret transport.",https://www.imdb.com/title/tt0066593/?ref_=sr_i_196,"['Tony Curtis', 'Charles Bronson', 'Michèle Mercier']",Peter Collinson,"['Tony Curtis', 'Charles Bronson', 'Michèle Mercier', 'Patrick Magee', 'Fikret Hakan', 'Grégoire Aslan', 'Leo Gordon', 'John Alderson', 'Tony Bonner', 'Horst Janson']",,,,,"July 24, 1970","['United Kingdom', 'United States']","Cappadocia, Turkey","['Columbia Pictures', 'SRO']",,"['Action', 'Adventure', 'Comedy', 'War']",['English']
197. WUSA,1970,1h 55m,PG-13,5.5,1.4K,,A radio station in the Deep South becomes the focal point of a right-wing conspiracy.,https://www.imdb.com/title/tt0066540/?ref_=sr_i_197,['Robert Stone'],Stuart Rosenberg,"['Paul Newman', 'Joanne Woodward', 'Anthony Perkins', 'Laurence Harvey', 'Pat Hingle', 'Don Gordon', 'Michael Anderson Jr.', 'Leigh French', 'Bruce Cabot', 'Cloris Leachman']","$4,800,000 (estimated)",,,,"June 23, 1971",['United States'],"New Orleans, Louisiana, USA",['Paramount Pictures'],2 nominations total,"['Drama', 'Romance']",['English']
198. The People Next Door,1970,1h 33m,R,6.1,463,,Comfortable New York suburbanites Arthur and Gerrie Mason learn that their seemingly innocent teenage daughter Maxie is a drug addict.,https://www.imdb.com/title/tt0066209/?ref_=sr_i_198,['J.P. Miller'],David Greene,"['Eli Wallach', 'Julie Harris', 'Deborah Winters', 'Hal Holbrook', 'Cloris Leachman', 'Nehemiah Persoff', 'Mike Kellin', 'Stephen McHattie', 'Don Scardino', 'Rue McClanahan']",,,,"$217,510","August 26, 1970",['United States'],"Filmways Studio New York, USA",['People Next Door'],,['Drama'],['English']
199. A Walk in the Spring Rain,1970,1h 38m,GP,6.0,991,,The Merediths move to an isolated farm. Mrs. Meredith and the neighbour Will Cade become friends and anticipate becoming lovers.,https://www.imdb.com/title/tt0066542/?ref_=sr_i_199,"['Ingrid Bergman', 'Anthony Quinn', 'Fritz Weaver']",Guy Green,"['Ingrid Bergman', 'Anthony Quinn', 'Fritz Weaver', 'Katherine Crawford', 'Tom Holland', 'Virginia Gregg', 'Mitchell Silberman', 'Michael Bullock', 'Janet Nelson Chadwick', 'David Opatoshu']",,,$52,,"June 11, 1970",['United States'],"Cades Cove, Great Smoky Mountains National Park - 107 Park Headquarters Road, Gatlinburg, Tennessee, USA","['Columbia Pictures', 'Pingree Productions']",,"['Tragedy', 'Drama', 'Romance']",['English']
200. Higher and Higher,1970,1h 43m,X,4.5,579,,"A blonde hooks up with a rock star who leaves her after a one-night stand. She fell in love with him however and sets out across Europe to track him down. On her way, she meets a gang of nasty bikers and a ring of devil worshipers.",https://www.imdb.com/title/tt0065877/?ref_=sr_i_200,"['Ingrid Steeger', 'Rolf Eden', 'Vivian Weiss']",Erwin C. Dietrich,"['Ingrid Steeger', 'Rolf Eden', 'Vivian Weiss', 'Li Paelz', 'Terry Mason', 'Stewart West', 'Sharon Richardson', 'Petra Prinz', 'Bruno Frenzel', 'Bernd Koschmidder']",,,,,January 1971,"['Switzerland', 'West Germany']","London, England, UK",,,"['Drama', 'Music']",['German']
201. Cry of the Banshee,1970,1h 31m,GP,5.5,3.1K,,"In 1500s England, a cruel witch-hunting magistrate, who often tortures innocent villagers for his entertainment, runs afoul of a witch who conjures a banshee to kill the magistrate and his family.",https://www.imdb.com/title/tt0065597/?ref_=sr_i_201,"['Tim Kelly', 'Christopher Wicking']",Gordon Hessler,"['Vincent Price', 'Elisabeth Bergner', 'Essy Persson', 'Hugh Griffith', 'Sally Geeson', 'Robert Hutton', 'Patrick Mower', 'Hilary Heath', 'Carl Rigg', 'Stephan Chase']","$500,000 (estimated)",,,,"July 22, 1970","['United States', 'United Kingdom']","Grim's Dyke House, Old Redding, Harrow Weald, Middlesex, England, UK",['American International Pictures (AIP)'],,"['Folk Horror', 'Horror']",['English']
202. Every Home Should Have One,1970,1h 34m,R,5.0,545,,"Teddy, working at an advertising agency, has to come up with a campaign for frozen porridge.",https://www.imdb.com/title/tt0065709/?ref_=sr_i_202,"['Herbert Kretzmer', 'Milton Shulman', 'Marty Feldman']",Jim Clark,"['Marty Feldman', 'Judy Cornwell', 'Garry Miller', 'Shelley Berman', 'Hy Hazell', 'Julie Ege', 'Penelope Keith', 'Moray Watson', 'Jack Watson', 'Mark Elwes']",,,,,April 1978,['United Kingdom'],"New Malden, Surrey, England, UK","['British Lion Films', 'Example']",,"['Satire', 'Comedy']","['English', 'Swedish']"
203. Nana,1970,1h 45m,X,4.8,137,,"This adaptation of Emile Zola's novel ""NANA,"" is about the sexual liaisons of a woman who through her relationships with different men, enjoys a life of pleasure and luxury. However, her lavish life-style does not always bring happiness.",https://www.imdb.com/title/tt0066128/?ref_=sr_i_203,"['Anna Gaël', 'Gillian Hills', 'Lars Lunøe']",Mac Ahlberg,"['Anna Gaël', 'Gillian Hills', 'Lars Lunøe', 'Keve Hjelm', 'Gérard Berner', 'Rikki Septimus', 'Hans Ernback', 'Peter Bonke', 'Keith Bradfield', 'Poul Glargaard']",,,,"$307,567","November 9, 1970","['Sweden', 'France']",,"['Les Productions Jacques Roitfeld', 'Minerva International']",,"['Drama', 'Romance']",['English']
